Date,Open,High,Low,Close,Volume,Adj Close,Negative,Neutral,Positive
13/01/2014,135.81,137.06,134.57,134.68,2633400,133.8,0,14,1
14/01/2014,135.11,137.41,134.74,137.41,2479700,136.51,263,4304,194
15/01/2014,137.77,138.82,137.56,138.44,3025900,137.54,134,1015,48
16/01/2014,137.74,138.5,137.63,138.16,1792700,137.26,151,1238,210
17/01/2014,137.98,138.75,136.98,137.31,2327900,136.41,,,
18/01/2014,,,,,,,,,
19/01/2014,,,,,,,,,
20/01/2014,,,,,,,180,2331,208
21/01/2014,138.45,138.95,136.3,136.99,2705700,136.1,106,1302,147
22/01/2014,137.35,137.49,136.33,136.48,2118800,135.59,21,124,11
23/01/2014,135.64,135.66,133.95,134.71,2720300,133.83,80,443,66
24/01/2014,133.73,133.73,130.22,130.22,3776100,129.37,,,
25/01/2014,,,,,,,,,
26/01/2014,,,,,,,467,4162,380
27/01/2014,130.02,130.59,128.66,128.96,3312800,128.12,240,1009,185
28/01/2014,129.43,130.01,129.1,129.81,2734200,128.96,271,1038,75
29/01/2014,130.1,131.27,129,130.25,3584000,129.4,94,718,48
30/01/2014,129.96,129.96,126.53,128.05,4102600,127.21,106,633,100
31/01/2014,126.6,129.2,126.42,128.19,3715400,127.35,,,
01/02/2014,,,,,,,,,
02/02/2014,,,,,,,179,639,51
03/02/2014,128.22,128.59,123.61,123.9,4245100,123.09,13,107,17
04/02/2014,126.09,127.64,124.12,126.72,7412500,125.89,266,2515,249
05/02/2014,128.01,128.76,125.92,127.36,4960000,126.53,334,3063,189
06/02/2014,127.6,129.2,127.1,128.9,3828400,128.06,1860,8498,944
07/02/2014,129.57,130.39,128.81,130.33,3263200,129.48,,,
08/02/2014,,,,,,,,,
09/02/2014,,,,,,,83,940,66
10/02/2014,,,,,,,0,8,1
11/02/2014,129.65,130.41,129.02,129.7,3317400,128.85,157,159,51
12/02/2014,129.7,131.49,129.65,130.98,2604000,130.12,105,949,96
13/02/2014,130.34,131,130.01,130.44,2100600,130.44,169,1862,103
14/02/2014,129.29,130.38,128.66,130.14,2850600,130.14,,,
15/02/2014,129.77,132.19,129.5,132.12,3030000,132.12,,,
16/02/2014,,,,,,,,,
17/02/2014,,,,,,,123,1372,133
18/02/2014,,,,,,,657,5373,661
19/02/2014,132.31,132.75,131.64,131.8,2876500,131.8,617,5168,546
20/02/2014,131.33,132.71,130.46,130.56,2719400,130.56,957,6518,1027
21/02/2014,130.65,132.03,130.05,131.56,2155800,131.56,,,
22/02/2014,131.56,132.33,131.3,131.57,2574300,131.57,,,
23/02/2014,,,,,,,314,3351,320
24/02/2014,,,,,,,137,1168,99
25/02/2014,131.89,133.46,131.44,132.2,2454300,132.2,731,1444,155
26/02/2014,132.27,133.43,131.86,132.93,2863100,132.93,175,1106,89
27/02/2014,133.13,133.46,132.28,132.86,2771100,132.86,356,1139,145
28/02/2014,132.63,134.58,132,134.34,3124000,134.34,,,
01/03/2014,134.19,135.2,133.92,134.73,3179400,134.73,,,
02/03/2014,,,,,,,611,1804,159
03/03/2014,133.07,133.81,131.67,132.21,2814400,132.21,,,
04/03/2014,131.92,133.08,131.58,132.68,6975500,132.68,,,
05/03/2014,132.66,134.03,132.19,133.85,3551400,133.85,,,
