Date,Open,High,Low,Close,Volume,Adj Close,Negative,Neutral,Positive
13/01/2014,141.55,142.14,140.38,140.7,4462400,139.91,0,14,0
14/01/2014,140.85,141.7,137.8,140.01,8441600,139.22,401,4020,298
15/01/2014,140.3,141.08,140.14,140.62,3030800,139.83,267,1277,140
16/01/2014,140.33,141.45,140.07,140.21,3062900,139.42,35,380,40
17/01/2014,140.08,141,139.75,140.46,3382700,139.67,,,
18/01/2014,,,,,,,,,
19/01/2014,,,,,,,,,
20/01/2014,,,,,,,261,1050,128
21/01/2014,141.46,142.46,140.81,141.67,3240600,140.88,52,302,41
22/01/2014,142.31,144.57,141.87,144.37,4388700,143.56,467,4162,380
23/01/2014,143.1,143.89,141.1,141.31,4491400,140.52,240,1009,185
24/01/2014,140.4,140.47,136.32,136.65,5856800,135.88,,,
25/01/2014,,,,,,,,,
26/01/2014,,,,,,,91,1176,100
27/01/2014,136.7,138.46,135.65,137.36,5057800,136.59,157,672,144
28/01/2014,137.61,138.09,136.44,137.09,4606200,136.32,75,1361,101
29/01/2014,131.7,131.76,128.07,129.78,15993400,129.05,18,314,21
30/01/2014,131.7,131.7,125.2,126.53,10406200,125.82,41,2174,202
31/01/2014,124.46,126.87,123.08,125.26,9732700,124.56,,,
01/02/2014,,,,,,,,,
02/02/2014,,,,,,,0,190,12
03/02/2014,124.24,126.52,122.75,123.08,9309600,122.39,21,560,21
04/02/2014,123.07,123.8,120.53,122.04,9304100,121.36,160,1542,206
05/02/2014,121,121.94,118.77,121.4,9689100,120.72,172,452,87
06/02/2014,121.79,122.72,121.51,122.67,6738800,121.98,184,2371,226
07/02/2014,123.75,127.21,123.65,127.02,8906300,126.31,,,
08/02/2014,,,,,,,,,
09/02/2014,,,,,,,11,190,14
10/02/2014,128.96,128.97,126.35,127.16,8173500,126.45,0,0,0
11/02/2014,127.65,130.69,127.46,130.16,7874000,129.43,10,76,12
12/02/2014,130.29,130.55,128,128.13,5798800,128.13,74,553,53
13/02/2014,127.06,129.94,127.06,129.5,4203400,129.5,18,420,59
14/02/2014,129.09,130.41,128.02,130.16,4807700,130.16,,,
15/02/2014,,,,,,,,,
16/02/2014,,,,,,,,,
17/02/2014,,,,,,,18,1331,17
18/02/2014,130.13,130.94,129.6,130.63,4645300,130.63,86,1738,431
19/02/2014,130.11,130.5,128.37,128.39,5146600,128.39,107,1710,142
20/02/2014,128.48,129.99,127.51,129.56,4466400,129.56,104,1656,165
21/02/2014,129.8,129.8,128.11,128.28,5164000,128.28,,,
22/02/2014,,,,,,,,,
23/02/2014,,,,,,,73,859,99
24/02/2014,128.38,130.8,128.36,129.59,4635700,129.59,15,547,123
25/02/2014,129.3,129.75,126.21,126.78,7308800,126.78,15,302,14
26/02/2014,127.24,127.94,126.36,126.61,4803600,126.61,75,296,51
27/02/2014,126.47,128.56,126.26,128.56,4649700,128.56,344,3306,401
28/02/2014,128.75,129.95,128.06,128.92,4361400,128.92,,,
01/03/2014,,,,,,,32,648,22
