Date,Open,High,Low,Close,Volume,Adj Close,Negative,Neutral,Positive
13/01/2014,141.55,142.14,140.38,140.7,4462400,139.91,1,12,1
14/01/2014,140.85,141.7,137.8,140.01,8441600,139.22,166,1079,138
15/01/2014,140.3,141.08,140.14,140.62,3030800,139.83,114,615,83
16/01/2014,140.33,141.45,140.07,140.21,3062900,139.42,153,1040,167
17/01/2014,140.08,141,139.75,140.46,3382700,139.67,,,
18/01/2014,,,,,,,,,
19/01/2014,,,,,,,,,
20/01/2014,,,,,,,106,1560,110
21/01/2014,141.46,142.46,140.81,141.67,3240600,140.88,72,1633,93
22/01/2014,142.31,144.57,141.87,144.37,4388700,143.56,134,1357,51
23/01/2014,143.1,143.89,141.1,141.31,4491400,140.52,161,1839,170
24/01/2014,140.4,140.47,136.32,136.65,5856800,135.88,,,
25/01/2014,,,,,,,,,
26/01/2014,,,,,,,364,2806,383
27/01/2014,136.7,138.46,135.65,137.36,5057800,136.59,98,982,92
28/01/2014,137.61,138.09,136.44,137.09,4606200,136.32,288,2555,383
29/01/2014,131.7,131.76,128.07,129.78,15993400,129.05,462,2985,1347
30/01/2014,131.7,131.7,125.2,126.53,10406200,125.82,136,885,114
31/01/2014,124.46,126.87,123.08,125.26,9732700,124.56,,,
01/02/2014,,,,,,,,,
02/02/2014,,,,,,,21,124,11
03/02/2014,124.24,126.52,122.75,123.08,9309600,122.39,80,443,66
04/02/2014,123.07,123.8,120.53,122.04,9304100,121.36,532,3201,302
05/02/2014,121,121.94,118.77,121.4,9689100,120.72,422,2638,207
06/02/2014,121.79,122.72,121.51,122.67,6738800,121.98,2840,7904,874
07/02/2014,123.75,127.21,123.65,127.02,8906300,126.31,,,
08/02/2014,,,,,,,,,
09/02/2014,,,,,,,108,586,53
10/02/2014,128.96,128.97,126.35,127.16,8173500,126.45,0,1,0
11/02/2014,127.65,130.69,127.46,130.16,7874000,129.43,38,141,12
12/02/2014,130.29,130.55,128,128.13,5798800,128.13,94,718,48
13/02/2014,127.06,129.94,127.06,129.5,4203400,129.5,106,633,100
14/02/2014,129.09,130.41,128.02,130.16,4807700,130.16,,,
15/02/2014,,,,,,,,,
16/02/2014,,,,,,,,,
17/02/2014,,,,,,,179,639,51
18/02/2014,130.13,130.94,129.6,130.63,4645300,130.63,266,2515,249
19/02/2014,130.11,130.5,128.37,128.39,5146600,128.39,313,2473,231
20/02/2014,128.48,129.99,127.51,129.56,4466400,129.56,,,
21/02/2014,129.8,129.8,128.11,128.28,5164000,128.28,,,
22/02/2014,,,,,,,,,
23/02/2014,,,,,,,282,2521,191
24/02/2014,128.38,130.8,128.36,129.59,4635700,129.59,100,698,75
25/02/2014,129.3,129.75,126.21,126.78,7308800,126.78,116,824,49
26/02/2014,127.24,127.94,126.36,126.61,4803600,126.61,105,865,103
27/02/2014,126.47,128.56,126.26,128.56,4649700,128.56,92,654,97
28/02/2014,128.75,129.95,128.06,128.92,4361400,128.92,,,
