Date,Open,High,Low,Close,Volume,Adj Close,Negative,Neutral,Positive
10/01/2013,13.85,13.96,13.83,13.9,376600,12.46,,,
11/01/2013,13.94,13.96,13.85,13.89,228100,12.45,,,
12/01/2013,,,,,,,,,
13/01/2013,,,,,,,,,
14/01/2013,13.89,13.96,13.83,13.87,249900,12.43,,,
15/01/2013,13.85,13.86,13.76,13.82,286600,12.39,,,
16/01/2013,13.76,13.79,13.7,13.75,290600,12.32,,,
17/01/2013,13.81,13.89,13.81,13.89,260600,12.45,,,
18/01/2013,13.85,13.94,13.85,13.93,288500,12.48,,,
19/01/2013,,,,,,,,,
20/01/2013,,,,,,,,,
21/01/2013,,,,,,,,,
22/01/2013,13.9,13.94,13.89,13.91,262500,12.47,,,
23/01/2013,13.88,13.95,13.88,13.95,276200,12.5,,,
24/01/2013,13.95,13.99,13.92,13.96,369800,12.51,,,
25/01/2013,13.97,14.12,13.96,14.02,386000,12.57,,,
26/01/2013,,,,,,,,,
27/01/2013,,,,,,,,,
28/01/2013,14,14.09,13.98,14.09,315900,12.63,,,
29/01/2013,14.05,14.1,14.03,14.09,283400,12.63,,,
30/01/2013,14.15,14.16,14.05,14.09,287300,12.63,,,
31/01/2013,14.06,14.13,14.04,14.1,204700,12.64,,,
01/02/2013,14.19,14.2,14.14,14.18,291900,12.71,,,
02/02/2013,,,,,,,,,
03/02/2013,,,,,,,,,
04/02/2013,14.14,14.14,13.94,13.98,452400,12.53,,,
05/02/2013,14.06,14.11,14.03,14.09,359000,12.63,,,
06/02/2013,14.08,14.14,14.04,14.1,287900,12.64,,,
07/02/2013,14.13,14.14,14.01,14.13,265900,12.66,,,
08/02/2013,14.14,14.17,14.11,14.13,190100,12.66,,,
09/02/2013,,,,,,,,,
10/02/2013,,,,,,,,,
11/02/2013,14.17,14.17,14.06,14.09,227600,12.63,,,
12/02/2013,14.1,14.14,14.05,14.09,260700,12.63,,,
13/02/2013,13.84,13.87,13.8,13.83,292800,12.68,,,
14/02/2013,13.78,13.84,13.77,13.81,286600,12.66,,,
15/02/2013,13.84,13.87,13.72,13.78,244600,12.63,,,
16/02/2013,,,,,,,,,
17/02/2013,,,,,,,,,
18/02/2013,,,,,,,,,
19/02/2013,13.83,13.86,13.74,13.8,374500,12.65,,,
20/02/2013,13.77,13.77,13.6,13.62,555700,12.48,,,
21/02/2013,13.61,13.61,13.42,13.49,382200,12.36,,,
22/02/2013,13.55,13.55,13.48,13.54,255800,12.41,,,
23/02/2013,,,,,,,,,
24/02/2013,,,,,,,,,
25/02/2013,13.56,13.63,13.35,13.37,363100,12.25,,,
26/02/2013,13.42,13.46,13.31,13.44,201800,12.32,,,
27/02/2013,13.45,13.64,13.42,13.62,247100,12.48,,,
28/02/2013,13.67,13.76,13.63,13.68,446600,12.54,,,
01/03/2013,13.66,13.67,13.55,13.66,320600,12.52,,,
02/03/2013,,,,,,,,,
03/03/2013,,,,,,,,,
04/03/2013,13.6,13.66,13.57,13.65,247300,12.51,,,
05/03/2013,13.72,13.78,13.64,13.7,400300,12.56,,,
